lead_indices,lead_names,metric,n,mean,std,min,max,paired_mean_delta_vs12,fraction_strictly_better_vs12
0;3,I;aVR,auroc_conduction,10,0.9504554648678607,0.00047084102744350553,0.950000710553616,0.9515497174365122,-0.006670677347077003,0.0
0;3,I;aVR,f1_conduction,10,0.8620271317598112,0.0028261149486816443,0.8571428571428571,0.8664850136239782,-0.007763376166037972,0.0
0;3,I;aVR,sensitivity_conduction,10,0.8308707124010553,0.004888985790567214,0.8232189973614775,0.8390501319261213,-0.011609498680738795,0.0
0;3,I;aVR,sens95_conduction,10,0.8118733509234829,0.004493241785204856,0.8047493403693932,0.820580474934037,-0.011345646437994728,0.0
0;3,I;aVR,auroc_ectopy,10,0.8730893356942937,0.0024162342448487777,0.8686810989889758,0.876106700177072,0.01077854572456729,1.0
0;3,I;aVR,f1_ectopy,10,0.4112569497044084,0.018701358718446637,0.38961038961038963,0.45454545454545453,0.027802552473467586,0.9
0;3,I;aVR,sensitivity_ectopy,10,0.38170731707317074,0.019110015078931966,0.36585365853658536,0.4268292682926829,0.017073170731707315,0.6
0;3,I;aVR,sens95_ectopy,10,0.401219512195122,0.026625240477744415,0.35365853658536583,0.43902439024390244,0.08292682926829267,1.0
1,II,macro_f1,10,0.689365163129961,0.006273214628454504,0.6801758332257807,0.699119470465752,-0.0007293223158625018,0.4
1,II,macro_sensitivity,10,0.6999464262489553,0.006089109687201794,0.6917850636539098,0.7091744285489057,0.0033829176236666813,0.5
1,II,auroc_af,10,0.9652785126396237,0.0014801237707238438,0.9634773662551441,0.9671884185773074,-0.0017945326278659968,0.0
1,II,f1_af,10,0.8942634602075993,0.003478275730027663,0.8895027624309392,0.9,-0.00820970531873294,0.1
1,II,sensitivity_af,10,0.8949999999999999,0.00409924881873681,0.8888888888888888,0.9,0.0005555555555555314,0.3
1,II,sens95_af,10,0.9044444444444444,0.0023424278964210136,0.9,0.9055555555555556,-0.0022222222222222144,0.0
1,II,auroc_ischemia,10,0.8895271783987736,0.001276836499763326,0.8877333647761664,0.8916401367763236,-0.017405966277561614,0.0
1,II,f1_ischemia,10,0.6589389337697297,0.00984378702722836,0.6404833836858006,0.6746268656716418,-0.012645856295596503,0.2
1,II,sensitivity_ischemia,10,0.6745454545454546,0.014581884794035212,0.6424242424242425,0.6909090909090909,0.016363636363636348,0.7
1,II,sens95_ischemia,10,0.5854545454545454,0.012840604914804618,0.5636363636363636,0.6060606060606061,-0.011515151515151511,0.1
1,II,auroc_conduction,10,0.9432622937618131,0.0008150748629564125,0.9423077834043097,0.944752087843375,-0.013863848453124772,0.0
1,II,f1_conduction,10,0.8462695697220847,0.005729908711425962,0.8361111111111111,0.8563458856345886,-0.023520938203764517,0.0
1,II,sensitivity_conduction,10,0.803957783641161,0.006703901143415841,0.7941952506596306,0.8126649076517151,-0.03852242744063324,0.0
1,II,sens95_conduction,10,0.7936675461741425,0.0085089791538771,0.7810026385224275,0.8100263852242744,-0.029551451187335098,0.0
1,II,auroc_ectopy,10,0.8497158279545325,0.003409732113384728,0.8454618152738904,0.8549580167932826,-0.012594962015193934,0.0
1,II,f1_ectopy,10,0.38329561158032344,0.02997548818348007,0.32432432432432434,0.4375,-0.00015878565061739903,0.4
1,II,sensitivity_ectopy,10,0.35853658536585364,0.03553133883481652,0.2926829268292683,0.4268292682926829,-0.0060975609756097615,0.4
1,II,sens95_ectopy,10,0.3439024390243902,0.04663294438926826,0.2926829268292683,0.43902439024390244,0.025609756097560978,0.7
1;3;4;5;7,II;aVR;aVL;aVF;V2,macro_f1,10,0.6981555535204745,0.0037586811912615602,0.6904569944423609,0.70236676673795,0.00806106807465109,0.9
1;3;4;5;7,II;aVR;aVL;aVF;V2,macro_sensitivity,10,0.7065526060628062,0.0038354215657343672,0.6990831125814072,0.7111704164867174,0.009989097437517514,0.9
1;3;4;5;7,II;aVR;aVL;aVF;V2,auroc_af,10,0.9677013521457966,0.0008228542395634658,0.9667181069958848,0.9690182245737802,0.0006283068783068724,1.0
1;3;4;5;7,II;aVR;aVL;aVF;V2,f1_af,10,0.896866686834573,0.003523810917726696,0.8895027624309392,0.9025069637883009,-0.005606478691759398,0.0
1;3;4;5;7,II;aVR;aVL;aVF;V2,sensitivity_af,10,0.8961111111111111,0.002683588286331368,0.8944444444444445,0.9,0.0016666666666666607,0.3
1;3;4;5;7,II;aVR;aVL;aVF;V2,sens95_af,10,0.9,0.0,0.9,0.9,-0.006666666666666643,0.0
1;3;4;5;7,II;aVR;aVL;aVF;V2,auroc_ischemia,10,0.9032716267735722,0.0005216974925696881,0.9025822426600637,0.9042644342255238,-0.0036615179027630453,0.0
1;3;4;5;7,II;aVR;aVL;aVF;V2,f1_ischemia,10,0.6849110172800341,0.006027163405848525,0.6786786786786787,0.6948640483383686,0.013326227214708053,0.9
1;3;4;5;7,II;aVR;aVL;aVF;V2,sensitivity_ischemia,10,0.6903030303030302,0.007255872725684035,0.6787878787878788,0.703030303030303,0.03212121212121213,1.0
1;3;4;5;7,II;aVR;aVL;aVF;V2,sens95_ischemia,10,0.6121212121212121,0.01142798838281289,0.6,0.6363636363636364,0.015151515151515138,0.8
1;3;4;5;7,II;aVR;aVL;aVF;V2,auroc_conduction,10,0.9558589882663913,0.00044609170793980305,0.9548845824076398,0.9563814820253619,-0.0012671539485464955,0.0
1;3;4;5;7,II;aVR;aVL;aVF;V2,f1_conduction,10,0.862607151038701,0.00316725071559212,0.8551724137931035,0.8665749656121046,-0.007183356887148207,0.0
1;3;4;5;7,II;aVR;aVL;aVF;V2,sensitivity_conduction,10,0.8266490765171504,0.004134620676708228,0.8179419525065963,0.8311345646437994,-0.0158311345646438,0.0
1;3;4;5;7,II;aVR;aVL;aVF;V2,sens95_conduction,10,0.807915567282322,0.005098109673241671,0.8021108179419525,0.8179419525065963,-0.015303430079155678,0.0
1;3;4;5;7,II;aVR;aVL;aVF;V2,auroc_ectopy,10,0.8647298223567714,0.0017432530454922345,0.8607842577254812,0.8668675386988062,0.002419032387045139,0.9
1;3;4;5;7,II;aVR;aVL;aVF;V2,f1_ectopy,10,0.4014902657174261,0.013338932317655754,0.3835616438356164,0.4189189189189189,0.01803586848648529,0.9
1;3;4;5;7,II;aVR;aVL;aVF;V2,sensitivity_ectopy,10,0.36585365853658536,0.01626016260162602,0.34146341463414637,0.3902439024390244,0.0012195121951219467,0.4
1;3;4;5;7,II;aVR;aVL;aVF;V2,sens95_ectopy,10,0.38414634146341464,0.0118515282415555,0.36585365853658536,0.4024390243902439,0.06585365853658538,1.0
1;3;6;7,II;aVR;V1;V2,macro_f1,10,0.7026792013018518,0.004702671891132759,0.6947008155271177,0.7074261375954944,0.01258471585602836,1.0
1;3;6;7,II;aVR;V1;V2,macro_sensitivity,10,0.7104250961800352,0.004477531846533124,0.7031280064152192,0.7150915442324155,0.013861587554746669,1.0
1;3;6;7,II;aVR;V1;V2,auroc_af,10,0.9672450029394474,0.0006983211336554755,0.9662037037037038,0.9682539682539683,0.00017195767195765654,0.7
