stage,seed,lead_names,lead_indices,prediction_sha256,n,correct,incorrect,accuracy
seed42,42,I;III;V1,0;2;6,9bdc410542c50714f7a877b12ba595fa111024dc160da8f6cbe3cca7d6140561,936,713,223,0.7617521367521367
seed42,42,I;III;V2,0;2;7,6f5ba65e629765572304a2f2af04dbdaa57c8e9f1b9b5a03bfd1672376c87458,936,712,224,0.7606837606837606
seed42,42,I;III;V3,0;2;8,bd6c7674e7746d810bd61b5dcef8eae7a083514fd0ac3cd83f254ed3a3d996d3,936,711,225,0.7596153846153846
seed42,42,I;III;V4,0;2;9,d59115c97bc2c0bf32147312bd6620ac34ad2996915c461a1d3aa8be03d84901,936,707,229,0.7553418803418803
seed42,42,I;III;V5,0;2;10,c1e9a46089ece89f578e0e2669bc4dac2068922f9acfaa74966f0fe71376ffc2,936,705,231,0.7532051282051282
seed42,42,I;III;V6,0;2;11,df83f9d712cbc088c61a442206171077c0c00492f67cab8f8c0835feedb67172,936,703,233,0.7510683760683761
seed42,42,I;aVR;aVL,0;3;4,27773ee3cf1321a6df5af0d8564df97f12abc251474dd91af3ea8547cc0a0bc5,936,709,227,0.7574786324786325
seed42,42,I;aVR;aVF,0;3;5,06d04360989eee8489783ebdac75e4de2ab191079fcb44e53c8ab95f6dedcde4,936,714,222,0.7628205128205128
seed42,42,I;aVR;V1,0;3;6,30bd1905e55278bb2deb241fbeb460110d6fe89d72a489ed87aeab9cf2dff5aa,936,711,225,0.7596153846153846
seed42,42,I;aVR;V2,0;3;7,defc7f9bbfb8226dabb4a09c16926380b4ab45f969bf724047657a37a358d7e1,936,712,224,0.7606837606837606
seed42,42,I;aVR;V3,0;3;8,1585bc8d47ff6c5c4c7f7800ff86606cff97e290dc653099ef4e7b72c775cb44,936,707,229,0.7553418803418803
seed42,42,I;aVR;V4,0;3;9,ef02d63208e0d75c8bc684d4f85f10b67caa359f58572de90e7e20f41511b9ce,936,710,226,0.7585470085470085
seed42,42,I;aVR;V5,0;3;10,2b10240e9e2dd3dbcac10bf20ea232fcb30c304f27bf8e00f5cffcfa1c7d1d9d,936,704,232,0.7521367521367521
seed42,42,I;aVR;V6,0;3;11,ac2620cc908350e64a2592a138e3e6fe5cb6a225bce9042d6b88fadd61b19d8a,936,709,227,0.7574786324786325
seed42,42,I;aVL;aVF,0;4;5,846486b17fc35255973c62367250ce5b3e5a83bf6c950bf820c655b078392ffd,936,712,224,0.7606837606837606
seed42,42,I;aVL;V1,0;4;6,632988e5ef728a4cd9fbebafc5911b1cb305f51382fa91744ed7451093f9d9df,936,706,230,0.7542735042735043
seed42,42,I;aVL;V2,0;4;7,bf48208c3936eff18ec26a013519fc9f8354d18f101735ec1b93649dcd7f20ba,936,705,231,0.7532051282051282
seed42,42,I;aVL;V3,0;4;8,a69829b4588dd61f40d31173b84916bf90d8efb1a0ad78bc9a0ed61b7fe61447,936,708,228,0.7564102564102564
seed42,42,I;aVL;V4,0;4;9,276147576ba7cfdae33b3d2c41a44613755cd4216245b5640d221ee558317dc6,936,708,228,0.7564102564102564
seed42,42,I;aVL;V5,0;4;10,81c53899f301c3993fc256f0059275d666f4245eda3c3be308fa03ce1320625c,936,706,230,0.7542735042735043
seed42,42,I;aVL;V6,0;4;11,ec6f5c311bb47bddc61f84e46467e59e0e344021b104bd05bab25d6e525af28f,936,703,233,0.7510683760683761
seed42,42,I;aVF;V1,0;5;6,1fc6c861ab9fc3e8edf3dc71f2b8583f5d1af3593df3f5e727ce92f24b55496a,936,716,220,0.7649572649572649
seed42,42,I;aVF;V2,0;5;7,2bf621e0208291197abf1b856b2bfd2ad3f5e0d8b7224e451a973d33b4c1f08e,936,712,224,0.7606837606837606
seed42,42,I;aVF;V3,0;5;8,b4d9eca6af928f650abd944e961dc973da5fc815d7f0bf0c76a99013d304bf0c,936,707,229,0.7553418803418803
seed42,42,I;aVF;V4,0;5;9,49b1ec09a3b22f14c5f043ffb2240793ab291bc5d228afa285eec1f61245d58d,936,709,227,0.7574786324786325
seed42,42,I;aVF;V5,0;5;10,68eb1d41fe0cae6185557b9a4e4867e8f7498ebfcc8f7365030dd803fac814a4,936,705,231,0.7532051282051282
seed42,42,I;aVF;V6,0;5;11,077c8190ecb95cd863c4a5fe9ec16a54bc05bcdc3c6d91388900ce1f41d970fd,936,706,230,0.7542735042735043
seed42,42,I;V1;V2,0;6;7,2db4b977fbc5d6a6dd80fac0b014fec643cc4c51d5ce1bdd832e943c2a4aef6a,936,712,224,0.7606837606837606
seed42,42,I;V1;V3,0;6;8,a4a52c416a376a70398d035176cb33d040cdf5aff98d8092beafe611c5a3f89f,936,702,234,0.75
seed42,42,I;V1;V4,0;6;9,0064449cb536c5dafcc332b5ec20acfa9b1f6b7a9a77991760a19643e3c86ec4,936,712,224,0.7606837606837606
seed42,42,I;V1;V5,0;6;10,bd23e3e2ab1547301106fc8a010f45553e0ee6e3dfe8557175c2eb567bb3981a,936,707,229,0.7553418803418803
seed42,42,I;V1;V6,0;6;11,62b9496c87add6c56e802dc8926caab44d20e0577fabf17969e453905f66f7dd,936,710,226,0.7585470085470085
seed42,42,I;V2;V3,0;7;8,c33772406e4a0ae26183dd9bd23bd2a46476166cce6905c883d72c28dc4670a1,936,700,236,0.7478632478632479
seed42,42,I;V2;V4,0;7;9,7db5470fe0c907a50c7a2300c9ca3920115a9fe33abe2fc60fd0de07201c4bf3,936,709,227,0.7574786324786325
seed42,42,I;V2;V5,0;7;10,65dc2caa30cafd7671a74f74078da117690f415ae9c1d81f600112907f396fdd,936,706,230,0.7542735042735043
seed42,42,I;V2;V6,0;7;11,8d4e9b445ab5a1dd740fdb583ed0aa4e4b5cd98155e892eedf817f829de71ad8,936,704,232,0.7521367521367521
