model,leads,seed,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10024,0.9140538022021139,0.6898550724637681,0.7893258426966292,0.6922536377223618,0.698888555867126,binary;multiclass,0.929862569192594,0.6287625418060201,0.7230769230769231,0.5230769230769231,0.9666740152851264,0.8969359331476323,0.8944444444444445,0.9055555555555556,0.9072672247769523,0.6687306501547987,0.6545454545454545,0.6,0.9572104612440373,0.8719346049046321,0.8443271767810027,0.820580474934037,0.8599131775861083,0.39490445859872614,0.3780487804878049,0.3048780487804878
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10025,0.9148017361877436,0.7014492753623188,0.7887323943661971,0.6965759933576633,0.7032389001621256,binary;multiclass,0.9318190494369154,0.6287625418060201,0.7230769230769231,0.5384615384615384,0.9669826572604351,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9082576740164289,0.6666666666666666,0.6545454545454545,0.593939393939394,0.956997295159235,0.8703956343792633,0.841688654353562,0.8126649076517151,0.8608128177300508,0.41509433962264153,0.4024390243902439,0.35365853658536583
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10026,0.9174084700458569,0.6956521739130435,0.8016997167138811,0.7023754707337554,0.7089414298224389,binary;multiclass,0.9311509830120251,0.6333333333333333,0.7307692307692307,0.5384615384615384,0.9678497942386831,0.9019607843137255,0.8944444444444445,0.9111111111111111,0.9078174743544393,0.683076923076923,0.6727272727272727,0.6060606060606061,0.9576746896064954,0.8731241473396999,0.8443271767810027,0.8284960422163589,0.8628691380590621,0.42038216560509556,0.4024390243902439,0.3170731707317073
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10027,0.9155251477476152,0.7072463768115942,0.7937853107344632,0.6954696871601724,0.7016856566576626,binary;multiclass,0.9297384997136858,0.62,0.7153846153846154,0.5384615384615384,0.9675117577895357,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9092088197146564,0.6811145510835913,0.6666666666666666,0.593939393939394,0.9576699525823886,0.8692098092643051,0.841688654353562,0.8232189973614775,0.8625835380133661,0.4050632911392405,0.3902439024390244,0.3170731707317073
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10028,0.9159027931042938,0.6898550724637681,0.7994350282485876,0.7040883532236668,0.7099968387934151,binary;multiclass,0.9319812941401031,0.6354515050167224,0.7307692307692307,0.5307692307692308,0.966791593180482,0.9044943820224719,0.8944444444444445,0.9055555555555556,0.9079039421451873,0.6915887850467289,0.6727272727272727,0.6,0.9578831186671909,0.8738127544097694,0.8496042216358839,0.8153034300791556,0.8628691380590621,0.41509433962264153,0.4024390243902439,0.34146341463414637
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10029,0.915706613698227,0.6898550724637681,0.7932489451476793,0.6933824934350457,0.6997743367529068,binary;multiclass,0.9297194121015461,0.62,0.7153846153846154,0.5461538461538461,0.9678057025279246,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9059309043744841,0.676923076923077,0.6666666666666666,0.6121212121212121,0.9571915131476104,0.8731241473396999,0.8443271767810027,0.8337730870712401,0.8591134974581596,0.39490445859872614,0.3780487804878049,0.32926829268292684
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10030,0.9139802349248388,0.6811594202898551,0.7937853107344632,0.6860871625705989,0.6928449039144708,binary;multiclass,0.9315422790608895,0.6153846153846154,0.7076923076923077,0.5538461538461539,0.9672325102880658,0.8994413407821229,0.8944444444444445,0.9055555555555556,0.9070628463624574,0.6666666666666666,0.6545454545454545,0.5818181818181818,0.9566893885922985,0.8715846994535519,0.841688654353562,0.820580474934037,0.8610555777688925,0.37735849056603776,0.36585365853658536,0.3170731707317073
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10031,0.9155251477476152,0.6869565217391305,0.7932011331444759,0.6869755488791534,0.6941820012937845,binary;multiclass,0.9308742126359992,0.6143790849673203,0.7230769230769231,0.5076923076923077,0.9672986478542035,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9066698109499666,0.66875,0.6484848484848484,0.6060606060606061,0.9574709975699065,0.8700410396716827,0.8390501319261213,0.8153034300791556,0.865596618495459,0.379746835443038,0.36585365853658536,0.3048780487804878
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10032,0.914514823806371,0.7101449275362319,0.7899159663865546,0.6833491758093091,0.6910139082589047,binary;multiclass,0.930473372781065,0.625,0.7307692307692307,0.5538461538461539,0.9667107583774252,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9072200605274535,0.660436137071651,0.6424242424242425,0.5878787878787879,0.957598897220788,0.8645690834473324,0.8337730870712401,0.8179419525065963,0.8622408179585309,0.36477987421383645,0.35365853658536583,0.2926829268292683
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10033,0.9144706834400058,0.6956521739130435,0.7893258426966292,0.6937617809234672,0.7004122354395859,binary;multiclass,0.9309982821149074,0.6354515050167224,0.7307692307692307,0.5230769230769231,0.967989417989418,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9076445387729435,0.6748466257668712,0.6666666666666666,0.6,0.9578452224743372,0.8719346049046321,0.8443271767810027,0.8258575197889182,0.860941337750614,0.38461538461538464,0.36585365853658536,0.3048780487804878
