model,n_leads,metric,count,best,median,worst,mean,variance,top_leads
P1_a07,3,sensitivity_nsr,220,0.7923076923076923,0.7461538461538462,0.6692307692307692,0.7406643356643356,0.0005231197124553768,II;III;V2
P1_a07,3,sens95_nsr,220,0.6307692307692307,0.5615384615384615,0.4461538461538462,0.559055944055944,0.0011167526529414643,II;III;V1
P1_a07,3,auroc_af,220,0.968643445032334,0.965163874191652,0.9604497354497356,0.9650919078349633,2.947695074992891e-06,aVR;V1;V6
P1_a07,3,f1_af,220,0.907563025210084,0.8919667590027701,0.8767123287671232,0.8930518054797111,4.5302489537153864e-05,aVL;V1;V2
P1_a07,3,sensitivity_af,220,0.9055555555555556,0.8888888888888888,0.8666666666666667,0.8909343434343433,4.5339123558820775e-05,I;V1;V4
P1_a07,3,sens95_af,220,0.9222222222222223,0.9055555555555556,0.9,0.9072474747474748,3.655940720334639e-05,I;V1;V4
P1_a07,3,auroc_ischemia,220,0.9146327084070276,0.9050347836340054,0.8735290649687537,0.9043020584336469,3.724477087351547e-05,aVR;V2;V4
P1_a07,3,f1_ischemia,220,0.6990881458966566,0.6666666666666666,0.6163141993957704,0.6634095700532483,0.0003027930664091646,aVR;V2;V4
P1_a07,3,sensitivity_ischemia,220,0.696969696969697,0.6606060606060606,0.593939393939394,0.6567493112947659,0.0004916786194021359,I;aVR;aVF
P1_a07,3,sens95_ischemia,220,0.6545454545454545,0.5878787878787879,0.5272727272727272,0.5879063360881542,0.00080290432499298,I;II;III
P1_a07,3,auroc_conduction,220,0.9639086133309333,0.9531887277774357,0.9459789770870144,0.9540206784021416,1.540832284236649e-05,I;V1;V2
P1_a07,3,f1_conduction,220,0.8888888888888888,0.863013698630137,0.844566712517194,0.8638466857226599,7.579266680318861e-05,II;V1;V4
P1_a07,3,sensitivity_conduction,220,0.8548812664907651,0.8284960422163589,0.7994722955145118,0.8297793235787959,0.00011046982315473023,II;V1;V4
P1_a07,3,sens95_conduction,220,0.8680738786279684,0.8100263852242744,0.7783641160949868,0.8124730151115375,0.0003188136447379344,III;V1;V2
P1_a07,3,auroc_ectopy,220,0.8756211800993888,0.8638758782201406,0.8383503741360598,0.8623504494306173,5.170092049643115e-05,aVF;V1;V2
P1_a07,3,f1_ectopy,220,0.4634146341463415,0.3642081189251001,0.2702702702702703,0.3618326319549802,0.0008257424066192249,aVL;V1;V2
P1_a07,3,sensitivity_ectopy,220,0.4634146341463415,0.32926829268292684,0.24390243902439024,0.33519955654101996,0.0010998317363238135,aVL;V1;V2
P1_a07,3,sens95_ectopy,220,0.5,0.34146341463414637,0.2682926829268293,0.34207317073170723,0.0010210710615975338,aVL;V1;V2
P1_a07,4,macro_f1,495,0.7043074974845742,0.6844092329106054,0.6607196529699814,0.6843114750428059,5.753975495677453e-05,II;aVR;V1;V2
P1_a07,4,macro_sensitivity,495,0.7122239593357426,0.6924390998951782,0.6696070413201503,0.6925621383761469,5.9380229786302654e-05,II;aVR;V1;V2
P1_a07,4,binary_auroc,495,0.9207189975232352,0.9144853968954609,0.9040976973442213,0.9143903786881791,3.8056710360267474e-06,aVR;V1;V4;V5
P1_a07,4,sens_at_95sp,495,0.7246376811594203,0.6840579710144927,0.6347826086956522,0.6818328209632557,0.00018619775284086978,aVR;V1;V4;V6
P1_a07,4,auroc_nsr,495,0.9352261882038556,0.9294235541133804,0.9209963733536934,0.9292238186406921,6.5803618676160746e-06,aVR;aVF;V2;V6
P1_a07,4,f1_nsr,495,0.6644951140065146,0.6308724832214765,0.5967213114754099,0.6310844507377302,0.00018074388890381126,III;aVL;aVF;V2
P1_a07,4,sensitivity_nsr,495,0.7923076923076923,0.7384615384615385,0.6846153846153846,0.74003108003108,0.00033355949066904786,I;II;V2;V6
P1_a07,4,sens95_nsr,495,0.6230769230769231,0.5615384615384615,0.4846153846153846,0.5637606837606838,0.0006120003453336788,I;II;aVF;V1
P1_a07,4,auroc_af,495,0.9686728395061728,0.9652924750146973,0.961743092298648,0.965306303778526,2.341668451244266e-06,I;III;aVR;V1
P1_a07,4,f1_af,495,0.9106145251396648,0.8944444444444445,0.8767123287671232,0.8946519109154116,3.3974457696496274e-05,III;V1;V4;V6
P1_a07,4,sensitivity_af,495,0.9055555555555556,0.8888888888888888,0.8666666666666667,0.8915600448933783,2.61608477844919e-05,III;aVF;V1;V6
P1_a07,4,sens95_af,495,0.9222222222222223,0.9055555555555556,0.9,0.9060157126823795,2.9654822322237066e-05,I;V1;V2;V3
P1_a07,4,auroc_ischemia,495,0.9151672365680147,0.907872499312188,0.888550878434147,0.9071753497717417,1.6452743795850467e-05,aVR;V1;V4;V5
P1_a07,4,f1_ischemia,495,0.6993865030674846,0.6687306501547987,0.617737003058104,0.6675583925105758,0.0001978478838877711,aVR;V1;V2;V5
P1_a07,4,sensitivity_ischemia,495,0.703030303030303,0.6606060606060606,0.593939393939394,0.6601408019589837,0.0003538846929001924,I;II;aVL;aVF
P1_a07,4,sens95_ischemia,495,0.6545454545454545,0.5878787878787879,0.5333333333333333,0.5886501377410468,0.0004987232707743599,I;II;aVR;aVL
P1_a07,4,auroc_conduction,495,0.9614169386508008,0.9547329976362249,0.9483569631885856,0.9547012117259818,9.047238438230206e-06,III;aVL;V1;V2
