category,leads,metric,seeds,mean,std,min,max,paired_mean_delta_vs12,paired_min_delta_vs12,paired_max_delta_vs12,fraction_strictly_better_vs12
limb_only,I;aVR,f1_conduction,10,0.8611647962204689,0.004035128107764775,0.8555858310626703,0.8676671214188267,-0.008328045678963858,-0.014455208609012393,-0.0015426878454783965,0.0
limb_only,I;aVR,sensitivity_conduction,10,0.8313984168865435,0.004561583985889137,0.8258575197889182,0.8390501319261213,-0.009762532981530347,-0.01846965699208447,0.0,0.0
limb_only,I;aVR,sens95_conduction,10,0.8089709762532982,0.007787491159605508,0.7968337730870713,0.820580474934037,-0.012664907651715029,-0.02638522427440637,-0.0026385224274405594,0.0
limb_only,I;aVR,auroc_ectopy,10,0.8723324955731993,0.0026174382457040918,0.8691094990575199,0.8775632604101218,0.0101516536242646,0.005383560861369707,0.015979322556691766,1.0
limb_only,I;aVR,f1_ectopy,10,0.403480711896498,0.025917362432868084,0.35374149659863946,0.4473684210526316,0.012608202946146552,-0.06343641751178997,0.04802785140641691,0.7
limb_only,I;aVR,sensitivity_ectopy,10,0.3719512195121951,0.028309732270699425,0.3170731707317073,0.4146341463414634,-0.0036585365853658625,-0.09756097560975607,0.036585365853658514,0.5
limb_only,I;aVR,sens95_ectopy,10,0.3719512195121951,0.029454017776807794,0.32926829268292684,0.4268292682926829,0.039024390243902446,-0.02439024390243899,0.09756097560975613,0.9
two_channels,I;aVR,macro_f1,10,0.6958447005003096,0.006933936433692125,0.6854268261747487,0.7077727165366026,0.005247497878892804,-0.008548057903895678,0.015673424797907676,0.7
two_channels,I;aVR,macro_sensitivity,10,0.7032332528430731,0.007199797458890169,0.6931050024119075,0.7155801946657213,0.005894651665486294,-0.008735194344950514,0.01641792441136014,0.8
two_channels,I;aVR,auroc_af,10,0.9660574661963551,0.0006598265547363919,0.9653071722516168,0.9674456202233981,-0.0009531158142269125,-0.0018298059964725333,2.939447383898397e-05,0.1
two_channels,I;aVR,f1_af,10,0.887223911008407,0.0028463223954352176,0.8808864265927978,0.8913649025069638,-0.013230845201208097,-0.021074357720927694,-0.008076438275159137,0.0
two_channels,I;aVR,sensitivity_af,10,0.8872222222222221,0.005270462766947314,0.8777777777777778,0.8944444444444445,-0.007222222222222285,-0.01666666666666672,0.0,0.0
two_channels,I;aVR,sens95_af,10,0.9044444444444444,0.0023424278964210136,0.9,0.9055555555555556,-0.0022222222222222144,-0.005555555555555536,0.0,0.0
two_channels,I;aVR,auroc_ischemia,10,0.899917462563377,0.0013067388195017423,0.8982116888731676,0.9019376645835788,-0.007088000628856672,-0.008371654286051244,-0.0052116495696263865,0.0
two_channels,I;aVR,f1_ischemia,10,0.6857230570355772,0.006982531366860719,0.672782874617737,0.6932515337423313,0.017004970863454115,-0.00622947106127536,0.03080756597576162,0.9
two_channels,I;aVR,sensitivity_ischemia,10,0.6763636363636364,0.006514955756200858,0.6666666666666666,0.6848484848484848,0.022424242424242437,0.0,0.036363636363636376,0.9
two_channels,I;aVR,sens95_ischemia,10,0.6284848484848484,0.012792840564838445,0.6,0.6424242424242425,0.03575757575757575,0.0,0.06060606060606066,0.9
two_channels,I;aVR,auroc_conduction,10,0.9508851129543399,0.0007124320824494315,0.9499249181679087,0.9519713125820097,-0.006459879774328126,-0.007332913317195655,-0.005537581180750761,0.0
two_channels,I;aVR,f1_conduction,10,0.8611647962204689,0.004035128107764775,0.8555858310626703,0.8676671214188267,-0.008328045678963858,-0.014455208609012393,-0.0015426878454783965,0.0
two_channels,I;aVR,sensitivity_conduction,10,0.8313984168865435,0.004561583985889137,0.8258575197889182,0.8390501319261213,-0.009762532981530347,-0.01846965699208447,0.0,0.0
two_channels,I;aVR,sens95_conduction,10,0.8089709762532982,0.007787491159605508,0.7968337730870713,0.820580474934037,-0.012664907651715029,-0.02638522427440637,-0.0026385224274405594,0.0
two_channels,I;aVR,auroc_ectopy,10,0.8723324955731993,0.0026174382457040918,0.8691094990575199,0.8775632604101218,0.0101516536242646,0.005383560861369707,0.015979322556691766,1.0
two_channels,I;aVR,f1_ectopy,10,0.403480711896498,0.025917362432868084,0.35374149659863946,0.4473684210526316,0.012608202946146552,-0.06343641751178997,0.04802785140641691,0.7
two_channels,I;aVR,sensitivity_ectopy,10,0.3719512195121951,0.028309732270699425,0.3170731707317073,0.4146341463414634,-0.0036585365853658625,-0.09756097560975607,0.036585365853658514,0.5
two_channels,I;aVR,sens95_ectopy,10,0.3719512195121951,0.029454017776807794,0.32926829268292684,0.4268292682926829,0.039024390243902446,-0.02439024390243899,0.09756097560975613,0.9
